file,gt,emotion_before,prob_before,emotion_after,prob_after
angry/angry_0026.jpg,angry,angry,0.7974,angry,0.9889
angry/angry_0042.jpg,angry,fear,0.5063,angry,0.5913
angry/angry_0055.jpg,angry,angry,0.796,angry,0.3931
angry/angry_0058.jpg,angry,angry,0.8536,angry,0.9949
angry/angry_0072.jpg,angry,angry,0.998,angry,0.9611
angry/angry_0082.jpg,angry,sad,0.5377,neutral,0.3491
angry/angry_0090.jpg,angry,fear,0.4483,angry,0.3832
angry/angry_0093.jpg,angry,angry,0.5304,sad,0.9659
angry/angry_0120.jpg,angry,neutral,0.7822,neutral,0.985
angry/angry_0137.jpg,angry,fear,0.5945,sad,0.9959
angry/angry_0156.jpg,angry,angry,0.8644,angry,0.9409
angry/angry_0158.jpg,angry,sad,0.8263,sad,0.8555
angry/angry_0201.jpg,angry,sad,0.2758,sad,0.6409
angry/angry_0228.jpg,angry,sad,0.8728,angry,0.8495
angry/angry_0232.jpg,angry,angry,0.263,neutral,0.7065
angry/angry_0308.jpg,angry,angry,0.9664,angry,0.9632
angry/angry_0333.jpg,angry,sad,0.9163,sad,0.7439
angry/angry_0361.jpg,angry,sad,0.4821,sad,0.5118
angry/angry_0367.jpg,angry,sad,0.5473,angry,0.6385
angry/angry_0368.jpg,angry,sad,0.5105,angry,0.5565
angry/angry_0377.jpg,angry,angry,0.8122,angry,0.4677
angry/angry_0446.jpg,angry,fear,0.3432,angry,0.5323
angry/angry_0452.jpg,angry,sad,0.4154,neutral,0.9877
angry/angry_0494.jpg,angry,angry,0.9422,angry,0.5117
angry/angry_0531.jpg,angry,angry,0.9699,angry,0.6595
angry/angry_0547.jpg,angry,sad,0.9542,sad,0.8004
angry/angry_0549.jpg,angry,angry,0.9377,angry,0.9136
angry/angry_0553.jpg,angry,angry,0.9466,sad,0.5932
angry/angry_0572.jpg,angry,angry,0.6953,fear,0.9714
angry/angry_0597.jpg,angry,angry,0.8322,angry,0.6213
angry/angry_0624.jpg,angry,angry,0.9864,sad,0.7219
angry/angry_0656.jpg,angry,sad,0.8659,sad,0.8964
angry/angry_0791.jpg,angry,angry,0.6909,sad,0.9746
angry/angry_0813.jpg,angry,sad,0.6909,neutral,0.7839
angry/angry_0816.jpg,angry,sad,0.9415,sad,0.765
angry/angry_0854.jpg,angry,angry,0.3745,neutral,0.5615
angry/angry_0899.jpg,angry,sad,0.6526,fear,0.4406
angry/angry_0908.jpg,angry,fear,0.4058,surprise,0.5018
angry/angry_0919.jpg,angry,angry,0.7174,sad,0.9093
angry/angry_0952.jpg,angry,angry,0.7956,sad,0.4685
angry/angry_1039.jpg,angry,sad,0.7811,fear,0.4629
angry/angry_1074.jpg,angry,sad,0.9492,sad,0.527
angry/angry_1075.jpg,angry,fear,0.4218,angry,0.9988
angry/angry_1098.jpg,angry,sad,0.4466,neutral,0.4728
angry/angry_1150.jpg,angry,fear,0.6691,neutral,0.6057
