file,gt,emotion_before,prob_before,emotion_after,prob_after
angry/angry_0005.jpg,angry,angry,0.9942,angry,0.9902
angry/angry_0151.jpg,angry,angry,0.956,sad,0.7725
angry/angry_0301.jpg,angry,angry,0.9135,angry,0.5638
angry/angry_0350.jpg,angry,angry,0.9076,angry,0.9674
angry/angry_0364.jpg,angry,surprise,0.5618,surprise,0.9412
angry/angry_0582.jpg,angry,angry,0.991,angry,0.992
angry/angry_0591.jpg,angry,angry,0.8355,sad,0.4132
angry/angry_0617.jpg,angry,angry,0.9296,angry,0.8305
angry/angry_0651.jpg,angry,angry,0.7798,sad,0.6041
angry/angry_0699.jpg,angry,angry,0.7905,angry,0.8246
angry/angry_0736.jpg,angry,sad,0.8861,sad,0.5784
angry/angry_0766.jpg,angry,angry,0.7984,neutral,0.4915
angry/angry_0781.jpg,angry,angry,0.5441,sad,0.4961
angry/angry_0976.jpg,angry,sad,0.714,angry,0.7467
angry/angry_1050.jpg,angry,angry,0.9982,angry,0.5972
angry/angry_1164.jpg,angry,sad,0.7261,angry,0.6187
angry/angry_1250.jpg,angry,angry,0.9052,neutral,0.5841
angry/angry_1293.jpg,angry,angry,0.8129,angry,0.4865
angry/angry_1347.jpg,angry,angry,0.7291,sad,0.3351
angry/angry_1692.jpg,angry,sad,0.4577,neutral,0.968
angry/angry_1772.jpg,angry,angry,0.9879,angry,0.9317
angry/angry_2047.jpg,angry,angry,0.9925,angry,0.9556
angry/angry_2203.jpg,angry,surprise,0.4221,angry,0.858
angry/angry_2206.jpg,angry,neutral,0.9932,neutral,0.7336
angry/angry_2228.jpg,angry,angry,0.9006,sad,0.8013
angry/angry_2289.jpg,angry,sad,0.9582,sad,0.9022
angry/angry_2295.jpg,angry,angry,0.9791,angry,0.9705
angry/angry_2333.jpg,angry,angry,0.4471,angry,0.4616
angry/angry_2496.jpg,angry,surprise,0.9446,neutral,0.5505
angry/angry_2782.jpg,angry,sad,0.656,sad,0.9916
angry/angry_2843.jpg,angry,angry,0.9719,sad,0.8577
angry/angry_2861.jpg,angry,neutral,0.5585,sad,0.8045
angry/angry_2866.jpg,angry,sad,0.8831,sad,0.6902
angry/angry_3134.jpg,angry,sad,0.5841,angry,0.9533
angry/angry_3147.jpg,angry,angry,0.9711,angry,0.7085
angry/angry_3155.jpg,angry,angry,0.7383,angry,0.421
angry/angry_3227.jpg,angry,angry,0.943,angry,0.8769
angry/angry_3232.jpg,angry,angry,0.4403,sad,0.9589
angry/angry_3245.jpg,angry,angry,0.7964,angry,0.9144
angry/angry_3315.jpg,angry,angry,0.9701,angry,0.9338
